id_temps,id_station,id_region,temperature_max,temperature_moy,temperature_min,humidite_moyenne,precipitations_jour,wind_speed_max,radiation_solaire,idhc_30j,jours_sans_pluie,score_risque,niveau_stress_hydrique,flag_alerte_temperature,qualite_donnee,source_donnee
1,1,1,8.0,3.0,-2.0,34.9,0.0,3.2,431.5,43.0,7,24.2,Normal,False,Excellente,Simulation DW
1,2,1,7.3,2.3,-2.7,52.0,0.0,16.9,382.7,23.0,5,14.2,Normal,False,Bonne,Simulation DW
1,3,1,9.5,4.5,-0.5,48.9,0.0,1.3,385.3,35.4,6,20.1,Normal,False,Bonne,Simulation DW
1,4,2,15.0,10.0,5.0,73.5,0.0,0.3,354.6,29.5,3,14.8,Normal,False,Excellente,Simulation DW
1,5,2,14.7,9.7,4.7,63.7,4.2,16.3,174.6,30.3,4,16.1,Normal,False,Bonne,Simulation DW
1,6,2,13.0,8.0,3.0,45.1,0.0,7.1,267.0,19.5,4,11.8,Normal,False,Excellente,Simulation DW
1,7,3,11.0,6.0,1.0,51.5,0.0,7.0,120.6,28.0,9,20.2,Normal,False,Excellente,Simulation DW
1,8,3,10.7,5.7,0.7,43.7,0.0,0.9,434.1,31.4,10,22.6,Normal,False,Excellente,Simulation DW
1,9,3,17.1,12.1,7.1,38.3,5.7,25.9,450.9,53.1,6,27.2,Modéré,False,Excellente,Simulation DW
1,10,4,7.0,2.0,-3.0,69.6,0.0,12.9,458.8,33.4,7,20.4,Normal,False,Bonne,Simulation DW
1,11,4,9.9,4.9,-0.1,52.6,1.4,11.8,360.8,48.3,3,22.3,Normal,False,Excellente,Simulation DW
1,12,4,4.3,-0.7,-5.7,33.0,0.0,36.1,257.2,18.7,8,15.5,Normal,False,Bonne,Simulation DW
1,13,5,15.6,10.6,5.6,33.9,0.0,28.2,481.6,38.1,5,20.2,Normal,False,Bonne,Simulation DW
1,14,5,13.4,8.4,3.4,48.9,0.0,1.0,346.0,37.1,10,24.8,Normal,False,Moyenne,Simulation DW
1,15,5,12.2,7.2,2.2,38.4,0.0,8.6,114.4,12.9,16,21.1,Normal,False,Excellente,Simulation DW
2,1,1,11.3,6.3,1.3,25.8,0.0,1.4,308.9,50.3,3,23.1,Normal,False,Bonne,Simulation DW
2,2,1,13.6,8.6,3.6,57.6,0.4,5.3,169.3,20.9,10,18.4,Normal,False,Excellente,Simulation DW
2,3,1,14.6,9.6,4.6,56.1,0.0,1.2,118.4,66.5,10,36.6,Modéré,False,Excellente,Simulation DW
2,4,2,13.3,8.3,3.3,73.1,0.0,0.5,249.8,41.6,5,21.6,Normal,False,Excellente,Simulation DW
2,5,2,16.0,11.0,6.0,63.6,0.0,8.8,476.1,36.1,3,17.4,Normal,False,Excellente,Simulation DW
2,6,2,16.8,11.8,6.8,42.7,0.0,3.8,438.0,11.4,7,11.6,Normal,False,Excellente,Simulation DW
2,7,3,12.6,7.6,2.6,44.7,0.0,4.2,472.3,30.7,12,24.3,Normal,False,Bonne,Simulation DW
2,8,3,16.7,11.7,6.7,54.9,0.0,30.1,329.4,33.4,7,20.4,Normal,False,Excellente,Simulation DW
2,9,3,11.6,6.6,1.6,31.8,0.0,8.0,276.6,24.9,6,16.0,Normal,False,Bonne,Simulation DW
2,10,4,5.5,0.5,-4.5,58.4,11.5,0.8,133.9,25.2,4,14.1,Normal,False,Moyenne,Simulation DW
2,11,4,10.6,5.6,0.6,42.8,0.0,6.8,104.5,47.3,9,27.9,Modéré,False,Excellente,Simulation DW
2,12,4,9.0,4.0,-1.0,51.0,0.0,49.6,129.5,17.6,7,14.0,Normal,False,Excellente,Simulation DW
2,13,5,15.0,10.0,5.0,56.1,0.0,9.7,211.0,64.1,9,34.7,Modéré,False,Excellente,Simulation DW
2,14,5,5.6,0.6,-4.4,30.2,0.0,27.0,446.4,22.1,8,16.8,Normal,False,Excellente,Simulation DW
2,15,5,17.5,12.5,7.5,33.5,3.8,20.0,425.2,34.4,7,20.8,Normal,False,Moyenne,Simulation DW
3,1,1,12.0,7.0,2.0,37.6,0.0,11.1,308.1,40.7,9,25.3,Modéré,False,Bonne,Simulation DW
3,2,1,11.1,6.1,1.1,67.3,0.0,14.1,348.1,42.5,4,21.0,Normal,False,Bonne,Simulation DW
3,3,1,10.7,5.7,0.7,49.8,3.5,3.0,283.7,34.9,11,24.9,Normal,False,Moyenne,Simulation DW
3,4,2,14.4,9.4,4.4,28.4,0.0,1.6,155.5,46.8,3,21.7,Normal,False,Excellente,Simulation DW
3,5,2,10.5,5.5,0.5,42.0,0.0,1.9,135.5,14.1,4,9.6,Normal,False,Excellente,Simulation DW
3,6,2,9.6,4.6,-0.4,32.0,0.0,20.7,468.3,21.7,5,13.7,Normal,False,Excellente,Simulation DW
3,7,3,14.6,9.6,4.6,62.8,0.0,22.6,304.7,30.7,6,18.3,Normal,False,Excellente,Simulation DW
3,8,3,9.0,4.0,-1.0,53.1,4.7,2.4,231.0,15.9,3,9.4,Normal,False,Excellente,Simulation DW
3,9,3,12.7,7.7,2.7,36.9,0.0,10.4,328.3,53.7,7,28.5,Modéré,False,Excellente,Simulation DW
3,10,4,3.9,-1.1,-6.1,58.4,0.0,2.1,214.0,9.0,3,6.6,Normal,False,Excellente,Simulation DW
3,11,4,0.5,-4.5,-9.5,51.5,0.0,8.5,212.0,40.3,7,23.1,Normal,False,Bonne,Simulation DW
3,12,4,10.3,5.3,0.3,22.9,0.0,6.6,313.0,18.6,6,13.4,Normal,False,Excellente,Simulation DW
3,13,5,9.4,4.4,-0.6,52.5,36.8,2.0,126.6,24.2,12,21.7,Normal,False,Bonne,Simulation DW
3,14,5,12.3,7.3,2.3,51.7,0.0,21.0,257.0,28.2,7,18.3,Normal,False,Bonne,Simulation DW
3,15,5,5.9,0.9,-4.1,52.5,0.0,4.1,155.7,14.9,9,15.0,Normal,False,Bonne,Simulation DW
4,1,1,13.7,8.7,3.7,51.2,0.0,8.4,405.0,54.5,5,26.8,Modéré,False,Bonne,Simulation DW
4,2,1,15.1,10.1,5.1,70.8,15.0,7.8,200.7,32.3,6,18.9,Normal,False,Excellente,Simulation DW
4,3,1,15.0,10.0,5.0,62.5,0.0,20.6,472.8,42.6,7,24.0,Normal,False,Excellente,Simulation DW
4,4,2,13.4,8.4,3.4,50.8,0.0,8.9,259.6,33.4,8,21.3,Normal,False,Excellente,Simulation DW
4,5,2,15.3,10.3,5.3,25.2,0.0,1.9,299.3,14.8,8,13.9,Normal,False,Excellente,Simulation DW
4,6,2,11.3,6.3,1.3,38.0,0.0,57.7,300.9,40.4,5,21.2,Normal,False,Excellente,Simulation DW
4,7,3,11.5,6.5,1.5,47.8,11.1,8.3,126.3,43.0,3,20.2,Normal,False,Bonne,Simulation DW
4,8,3,16.2,11.2,6.2,33.3,0.0,0.3,162.5,0.1,7,7.0,Normal,False,Bonne,Simulation DW
4,9,3,17.3,12.3,7.3,33.1,0.0,10.6,195.3,50.8,3,23.3,Normal,False,Excellente,Simulation DW
4,10,4,10.4,5.4,0.4,25.0,0.0,22.3,427.0,15.9,6,12.4,Normal,False,Excellente,Simulation DW
4,11,4,13.3,8.3,3.3,23.7,0.0,20.3,295.0,49.7,8,27.9,Modéré,False,Bonne,Simulation DW
4,12,4,7.0,2.0,-3.0,52.9,2.5,3.2,321.7,50.2,8,28.1,Modéré,False,Excellente,Simulation DW
4,13,5,9.1,4.1,-0.9,64.7,0.0,1.8,395.2,33.8,7,20.5,Normal,False,Excellente,Simulation DW
4,14,5,7.7,2.7,-2.3,41.4,0.0,6.9,338.7,38.7,9,24.5,Normal,False,Excellente,Simulation DW
4,15,5,12.4,7.4,2.4,76.6,0.0,24.9,154.7,29.5,9,20.8,Normal,False,Moyenne,Simulation DW
5,1,1,8.0,3.0,-2.0,56.4,0.0,2.0,327.2,36.6,11,25.6,Modéré,False,Bonne,Simulation DW
5,2,1,12.6,7.6,2.6,46.8,9.6,1.3,130.8,46.7,9,27.7,Modéré,False,Excellente,Simulation DW
5,3,1,15.8,10.8,5.8,51.2,3.0,28.0,419.5,26.6,7,17.6,Normal,False,Moyenne,Simulation DW
5,4,2,15.2,10.2,5.2,71.1,0.0,4.4,214.9,22.2,9,17.9,Normal,False,Excellente,Simulation DW
5,5,2,6.2,1.2,-3.8,52.5,0.0,9.4,305.1,11.9,9,13.8,Normal,False,Excellente,Simulation DW
5,6,2,13.5,8.5,3.5,40.7,2.0,11.9,161.6,38.3,8,23.3,Normal,False,Bonne,Simulation DW
5,7,3,9.9,4.9,-0.1,58.2,0.0,8.0,134.8,29.4,6,17.8,Normal,False,Excellente,Simulation DW
5,8,3,15.3,10.3,5.3,35.7,0.0,19.1,298.1,53.3,4,25.3,Modéré,False,Excellente,Simulation DW
5,9,3,15.6,10.6,5.6,44.4,0.0,13.6,164.3,45.1,14,32.1,Modéré,False,Bonne,Simulation DW
5,10,4,5.5,0.5,-4.5,50.1,0.0,14.3,316.5,26.6,8,18.6,Normal,False,Moyenne,Simulation DW
5,11,4,11.6,6.6,1.6,22.9,0.0,9.7,118.3,8.4,6,9.4,Normal,False,Bonne,Simulation DW
5,12,4,10.9,5.9,0.9,42.1,0.0,3.9,295.5,35.5,1,15.2,Normal,False,Bonne,Simulation DW
